x,y,velo
44.116245,34.766747,0
43.930847,35.079662,4.354011
43.782459,35.297256,4.962093
43.674759,35.515133,5.35932
43.236786,37.021954,4.236227
44.018219,34.803749,3.358484
43.40543,37.545654,3.111644
43.360497,37.784485,2.076584
43.215641,36.281914,2.691247
43.13892,36.463497,3.467366
43.063454,36.567207,3.613297
42.992077,36.679356,3.654368
42.900723,36.823753,3.479178
42.78685,36.950024,2.622896
42.693062,37.06258,1.243353
42.644402,37.141117,2.094449
42.577648,37.252651,2.237961
42.50494,37.349628,1.43342
42.45417,37.440598,1.525546
42.382034,37.555637,1.856972
42.345432,37.632057,2.130774
42.291382,37.729443,1.283003
42.264027,37.7855,4.521117
42.223175,37.84948,5.368784
42.179516,37.918072,5.680222
42.053883,37.958275,5.26494
41.774868,37.915272,3.091685
41.596581,37.93095,4.137074
41.363571,38.063431,2.976688
41.141895,38.231548,2.903753
40.957329,38.361324,2.40672
40.810368,38.44783,2.87741
40.664196,38.541061,1.651654
40.500942,38.631104,3.111517
40.276943,38.726658,2.794017
40.212372,38.745155,3.312264
40.100677,38.781326,3.311358
39.974731,38.831692,2.760396
39.879253,38.844849,1.421505
39.786915,38.876064,1.267092
39.622337,38.939953,1.694465
39.493629,39.003162,1.014575
39.262077,38.955841,0.485854
39.067852,38.875412,0.329389
38.926197,38.876701,0.473672
38.775894,38.827351,0.808249
38.585003,38.827583,0.046885
38.434391,38.818947,0.635195
38.254101,38.808392,2.434944
38.137913,38.80629,2.058369
37.972267,38.800781,1.692854
37.90226,38.775036,1.60696
37.724472,38.761795,0.994939
37.623871,38.757954,1.329135
37.504105,38.738441,inf
37.426132,38.717918,inf
37.352947,38.708286,inf
37.243061,38.699795,inf
37.151249,38.680553,4.102755
37.09185,38.669594,36.61409
36.915401,38.596207,43.766277
36.867531,38.414623,10.621106
36.442707,38.056385,44.522049
36.081383,37.954906,5.597149
35.786457,37.841816,5.081061
35.489002,37.709415,1.997284
35.242001,37.603958,1.650256
35.063721,37.51437,85.454773
34.766323,37.523827,4.820274
34.443363,37.411255,4.037445
34.125984,37.191998,5.244355
33.784122,37.018017,3.055851
33.484795,36.87241,2.834145
33.25536,36.756142,5.303928
33.032234,36.65028,2.770082
32.760197,36.498096,7.567855
32.559254,36.397625,8.080552
32.38195,36.299229,7.710278
32.21331,36.168961,7.745699
32.096535,36.058643,5.232831
31.929117,35.967968,5.777037
31.656132,35.782742,127.800339
31.469738,35.683086,8.9097
31.234579,35.631916,7.349596
31.058754,35.834106,6.026769
31.004753,36.084263,6.504951
30.92827,36.286201,4.248507
30.710802,36.580944,5.630137
30.578688,36.736488,7.920203
30.447891,36.92194,8.377969
30.326174,37.080467,7.703174
30.198996,37.223526,9.397687
30.130617,37.260685,10.21788
30.064631,37.273491,8.062086
30.018559,37.272575,11.583692
30.006613,37.269749,8.541179
30.006613,37.269749,5.720767
29.988333,37.26918,8.247759
29.763838,37.146183,8.399051
29.632402,36.831642,4.902517
29.646679,36.362473,5.923561
29.859283,36.083916,5.329797
29.950869,35.901371,6.442359
30.03546,35.556149,4.030619
30.29579,35.20026,6.48218
30.374239,34.848797,4.893763
30.516697,34.403206,5.015922
30.715687,33.997353,4.092713
30.884081,33.569187,4.173263
31.007599,33.180222,5.562499
31.146824,32.90044,2.790357
31.331963,32.576832,3.681726
31.41671,32.18079,4.485089
31.475349,31.880527,3.174773
31.706511,31.56481,3.322684
31.810284,31.269924,4.004743
31.935194,30.893911,5.958968
32.049881,30.613335,6.716105
32.177029,30.349438,7.511005
32.305099,30.056025,8.754708
32.37899,29.89595,8.424
32.474476,29.681221,5.933652
32.560944,29.477713,6.471305
32.802414,29.283455,3.894931
33.089188,29.295048,4.474063
33.369747,29.302969,4.079265
33.61245,29.202261,7.360155
34.016541,29.067055,6.723202
34.277115,29.007231,4.446224
34.566357,28.963121,7.954309
34.84016,28.880386,4.749563
35.027798,28.815075,6.706656
35.253498,28.772308,5.746073
35.365791,28.718191,3.525996
35.53392,28.668011,5.673931
35.692558,28.61907,3.005072
35.845371,28.585022,5.339286
37.517075,27.231359,4.182173
37.593384,27.165094,inf
inf,inf,inf
37.780239,26.957472,18.819916
inf,inf,inf
36.51334,28.382666,60.908386
36.564629,28.374868,48.696304
36.669479,28.370722,2.568546
36.773148,28.348864,3.8994
36.841991,28.33486,3.78091
36.97361,28.319151,3.703923
37.103935,28.310158,1.09271
37.312908,28.300722,2.466528
37.495193,28.292067,2.242632
37.601677,28.23494,1.96964
37.760338,28.156301,1.442916
37.955788,28.086109,0.975972
38.164467,28.128317,1.527003
38.355598,28.114704,3.147078
