x,y,velo
26.330841,21.77527,0
26.311596,21.78023,0.496853
26.250092,21.798336,1.602864
26.196299,21.778866,1.430174
26.197416,21.814409,0.889004
26.173927,21.81764,0.592772
26.178253,21.845255,0.698756
26.165779,21.833368,0.43075
26.157049,21.833364,0.218269
26.161486,21.830729,0.12904
26.161486,21.830729,0
26.174118,21.832432,0.318662
26.208954,21.801243,1.168929
26.228125,21.778009,0.753057
26.220808,21.778196,0.182989
26.284506,21.727001,2.043086
26.353119,21.709232,1.771906
26.399576,21.674669,1.447581
26.430754,21.652626,0.954569
26.447632,21.613197,1.072238
26.445215,21.630997,0.449064
26.436903,21.66754,0.936896
26.504576,21.690805,1.789017
26.515638,21.729019,0.994544
27.555828,21.619944,26.14736
27.447327,21.418839,5.712689
inf,inf,inf
inf,inf,inf
26.078018,21.654654,11.578875
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
29.055471,13.148071,5.364649
28.908863,12.886239,7.502069
28.68939,12.89663,5.492984
inf,inf,inf
inf,inf,inf
inf,inf,inf
30.544764,13.150821,11.704401
30.483971,13.021615,3.569815
30.579704,12.81105,5.782637
30.605024,12.690779,3.072707
28.375612,13.807508,62.336613
28.082859,14.464617,17.984297
27.97654,14.585349,4.021833
27.829063,16.493538,47.846977
27.851084,16.484386,0.596143
27.644749,16.472649,5.166687
27.711294,16.38114,2.828644
28.18362,14.471429,49.181351
27.642921,14.501154,13.53788
27.787651,14.455992,3.790312
27.987558,14.353397,5.617407
27.518387,16.452784,53.779301
27.716192,16.426155,4.989743
27.86068,16.282139,5.100052
27.760105,16.240068,2.725482
27.869867,16.110775,4.24005
28.156696,14.744404,34.90382
28.485344,14.631958,8.683811
28.867411,14.708486,9.741384
29.180092,14.714295,7.818383
29.308338,14.744067,3.291407
29.417078,14.698307,2.949377
29.542082,14.582961,4.25227
29.610437,14.496203,2.761256
28.955254,15.442523,28.774834
28.906672,15.477365,1.494624
30.158556,14.080775,46.888676
30.297916,13.965341,4.524026
30.440332,13.864058,4.368973
30.530252,13.721349,4.216888
30.625774,13.667685,2.739087
30.882154,13.559514,6.95663
31.159449,13.46764,7.302952
31.372629,13.334541,6.282978
31.605457,13.1432,7.534109
31.813349,13.027492,5.94805
32.042248,12.904357,6.497922
32.215885,12.777819,5.371385
32.406765,12.670409,5.47558
32.555416,12.567676,4.517456
32.707092,12.483665,4.334701
32.864002,12.388804,4.583841
32.980156,12.314286,3.450095
33.125568,12.203296,4.573259
33.215469,12.115416,3.142964
33.372021,11.998432,4.885739
33.478466,11.915178,3.378436
33.534313,11.870729,1.784413
33.676647,11.78257,4.185587
33.791794,11.739144,3.076574
33.904816,11.691208,3.069219
34.031662,11.601204,3.888309
34.200371,11.510314,4.790915
34.350498,11.411218,4.497074
34.46648,11.333756,3.486815
34.598255,11.263628,3.731808
34.763187,11.193973,4.475928
34.884293,11.118741,3.564282
35.039497,11.022321,4.567896
35.174545,10.952996,3.795019
35.45327,10.817108,7.75218
35.707432,10.722068,6.783779
35.978569,10.602496,7.408272
36.145485,10.532981,4.520292
36.394775,10.450571,6.563958
36.534237,10.392979,3.772202
36.746807,10.365212,5.359332
36.857819,10.343116,2.829814
37.042877,10.297931,4.762288
37.189411,10.302063,3.664849
37.361824,10.308838,4.313663
37.485218,10.342582,3.198138
37.612457,10.321485,3.22436
37.713169,10.378746,2.896312
37.881031,10.364581,4.211448
38.02821,10.370257,3.682242
38.228901,10.393795,5.051683
38.357079,10.400574,3.208916
38.519089,10.397188,4.051151
38.708782,10.383718,4.754223
38.773762,10.345702,1.882069
38.919308,10.331719,3.655392
39.05267,10.288629,3.503833
39.186642,10.284722,3.350725
39.351753,10.287007,4.128193
39.473049,10.333947,3.251547
39.676682,10.357678,5.125234
39.872322,10.394012,4.974671
40.039192,10.451141,4.40941
40.164131,10.472804,3.170084
40.31414,10.512636,3.880217
40.453053,10.560892,3.676334
40.570286,10.564013,2.931862
40.702393,10.594861,3.391519
40.916218,10.67566,5.714551
41.1744,10.757565,6.771569
41.353432,10.814281,4.695056
41.543804,10.884768,5.074999
41.711815,10.948036,4.488292
41.847771,11.029167,3.958067
42.007378,11.145298,4.934617
42.1343,11.242122,3.990941
42.234589,11.304869,2.957435
42.355339,11.37148,3.447644
42.475342,11.449354,3.576436
42.581627,11.473058,2.722409
42.80785,11.524453,5.799716
43.067097,11.517986,6.483128
43.372997,11.580659,7.80635
43.644707,11.712893,7.554519
43.899681,11.81846,6.899064
44.106888,11.935395,5.948173
44.277809,11.971981,4.369952
44.47234,12.04145,5.16392
44.643368,12.057615,4.294861
44.977409,11.973577,8.611032
45.145649,11.883663,4.76895
45.531933,11.833651,9.737742
45.853775,11.833554,8.046045
46.207195,11.816056,8.846338
46.44635,11.81715,5.978939
46.696007,11.81602,6.241423
46.951664,11.804952,6.397503
47.230038,11.817389,6.966237
47.433857,11.822845,5.097352
47.651821,11.823157,5.44909
47.855431,11.827054,5.091166
47.99036,11.845286,3.403857
48.163036,11.882207,4.414525
48.316643,11.891402,3.847046
48.489746,11.892688,4.327659
48.635929,11.880357,3.667576
48.837143,11.813063,5.304242
49.13319,11.75646,7.535188
49.361393,11.747434,5.709568
49.571304,11.727388,5.271658
49.799114,11.679596,5.819202
49.963215,11.66001,4.131615
50.141209,11.570422,4.981753
50.304695,11.500592,4.444316
50.53236,11.37362,6.51698
50.761307,11.233612,6.709117
51.119663,11.051394,10.050565
51.372517,10.94184,6.889132
51.64106,10.777692,7.868492
51.883759,10.636991,7.013354
52.06427,10.540812,5.113394
52.26244,10.438519,5.575349
52.498226,10.340439,6.384294
52.682941,10.253327,5.105656
52.844624,10.161087,4.653543
53.010078,10.05418,4.924702
53.22525,9.852921,7.36567
53.40897,9.672416,6.438888
53.518696,9.575743,3.655946
53.659424,9.378448,6.058498
53.76162,9.195878,5.230687
53.864189,9.030679,4.86131
53.913658,8.900571,3.479868
54.000854,8.732066,4.743217
54.033039,8.634101,2.57789
54.084339,8.523828,3.04057
54.141201,8.427129,2.804458
54.180077,8.338132,2.427941
54.228348,8.211969,3.377028
54.244667,8.115582,2.443996
54.243423,8.015674,2.497886
54.227108,7.932444,2.120335
54.162094,7.812732,3.405672
54.007854,7.716691,4.542409
53.89938,7.722432,2.715649
53.795067,7.632633,3.441041
53.731129,7.505258,3.56304
53.645023,7.271031,6.238792
53.57864,7.085353,4.92971
53.511654,6.90938,4.707283
53.412979,6.758692,4.503004
53.232475,6.721312,4.608394
52.967251,6.790459,6.852207
52.755615,6.866027,5.618086
52.493431,6.842954,6.579927
52.164021,6.822169,8.251657
51.878563,6.79031,7.180771
51.718563,6.764602,4.051285
51.512081,6.735672,5.212502
51.307007,6.769215,5.194948
51.09948,6.799201,5.242043
50.742085,6.681134,9.409854
50.413986,6.696317,8.211208
50.176811,6.769203,6.203033
49.92524,6.796216,6.325464
49.637695,6.675722,7.794263
49.355865,6.662421,7.053541
49.145386,6.78637,6.106643
48.812195,6.944805,9.223538
48.315052,7.081581,12.890341
47.924557,7.070215,9.766591
47.59692,7.12816,8.317947
47.357441,7.221313,6.423948
47.061481,7.404586,8.702808
46.814274,7.516647,6.785509
46.643024,7.621339,5.017946
46.445488,7.728274,5.615541
46.25285,7.921262,6.816961
46.187042,8.0174,2.912619
45.926331,8.141362,7.217041
45.562786,8.31623,10.085336
45.372128,8.40821,5.29217
45.128227,8.609201,7.901145
44.971333,8.723213,4.848628
44.71352,8.901281,7.833246
44.42157,9.015796,7.840143
44.261738,9.094998,4.459472
44.17281,9.315206,5.937163
43.972366,9.544005,7.604548
43.541615,9.766747,12.123346
43.217079,9.847951,8.363503
43.115253,10.051024,5.679292
42.826954,10.381617,10.966104
42.317379,10.575921,13.63407
41.926727,10.79456,11.191826
41.595795,11.165865,12.434422
41.015694,11.391017,15.556594
40.628292,11.601275,11.019516
40.312828,11.985254,12.423718
39.803734,12.221529,14.031294
39.356602,12.384918,11.901184
39.0228,12.714686,11.730584
38.645767,13.009709,11.968534
38.21563,13.143166,11.259083
37.761547,13.308961,12.085165
37.45208,13.422276,8.238971
37.137768,13.616401,9.235683
36.802845,13.79865,9.53244
36.522446,13.91781,7.616702
36.248314,14.018594,7.301758
35.982056,14.141859,7.335214
35.752708,14.240583,6.242315
35.508224,14.345409,6.650274
35.285229,14.440373,6.05934
35.045971,14.539546,6.474923
34.847713,14.621734,5.365443
34.666595,14.673089,4.706483
34.484547,14.726716,4.744536
34.350891,14.839787,4.376691
34.115768,14.959247,6.593307
33.832664,14.987175,7.111892
33.481651,15.154529,9.721688
33.297985,15.371827,7.113016
33.030441,15.575337,8.403687
32.692566,15.776717,9.833453
32.459938,15.925714,6.906285
32.161999,16.104347,8.684711
31.975845,16.186773,5.08965
31.764942,16.280657,5.771367
31.533165,16.368593,6.197489
31.349445,16.468245,5.225131
31.164553,16.561291,5.174637
31.088943,16.612846,2.287828
30.991329,16.681816,2.988019
30.835699,16.775513,4.541495
30.69445,16.853298,4.031251
30.618273,16.892212,2.138489
30.546907,17.054066,4.422249
30.410961,17.264853,6.270578
30.256107,17.387827,4.943616
30.102425,17.465899,4.309387
29.955288,17.557772,4.336593
29.82999,17.648199,3.863008
29.753391,17.734457,2.884001
29.722958,17.822701,2.333624
29.711733,17.851206,0.765866
29.686199,17.923088,1.907077
29.629417,18.051697,3.514638
29.590786,18.107967,1.706372
29.549103,18.159758,1.662037
30.369326,16.99931,35.526428
29.472214,18.367323,40.898262
29.415178,18.494137,3.476246
29.362995,18.594799,2.834585
29.344637,18.636478,1.138589
29.354259,18.71257,1.917445
29.33576,18.812761,2.547091
29.313778,18.883881,1.860982
29.270647,18.971216,2.435124
29.219328,19.061436,2.594874
29.18248,19.167608,2.809596
29.146845,19.241444,2.049649
29.143158,19.311621,1.756858
29.164391,19.402241,2.326861
29.155766,19.502283,2.510297
29.143425,19.559259,1.45745
29.111614,19.740652,4.604006
29.071644,19.943541,5.169744
29.067112,20.039463,2.400708
29.10902,20.136475,2.641929
29.174868,20.347479,5.526006
29.170866,20.575666,5.705555
29.102676,20.876621,7.714591
29.099297,21.099745,5.578709
29.126513,21.366093,6.693382
29.185505,21.539108,4.569911
29.159262,21.805468,6.691182
29.166862,22.146751,8.534243
29.205257,22.341385,4.959588
29.309164,22.554104,5.918491
29.35598,22.821709,6.791767
29.300337,23.104254,7.199283
29.268608,23.36245,6.503472
29.305729,23.621347,6.538626
29.361856,23.914339,7.45799
29.379677,24.104643,4.778389
29.333441,24.371368,6.767567
29.31357,24.597658,5.679185
29.336103,24.780125,4.596187
29.352823,24.934809,3.889632
29.311089,25.258047,8.148038
29.243963,25.495232,6.162679
29.226635,25.750448,6.394913
29.227415,25.96154,5.277362
29.227575,26.183496,5.54888
29.17375,26.28512,2.874968
29.049053,26.471987,5.6163
28.894941,26.793552,8.914669
28.87352,27.105585,7.819205
28.849485,27.365623,6.52867
28.710171,27.614166,7.123123
28.547291,27.811193,6.39088
28.444939,28.052164,6.545169
28.449238,28.260696,5.21441
28.360428,28.553448,7.648139
28.189707,28.826164,8.043629
28.023451,29.06546,7.284565
27.914207,29.384119,8.421624
27.855968,29.570807,4.888989
27.766792,29.751289,5.032817
27.643198,29.970243,6.285707
27.546179,30.177118,5.712387
27.536789,30.362919,4.650908
27.595715,30.551535,4.940185
27.554634,30.7603,5.319233
27.43679,31.051838,7.861317
27.338148,31.260593,5.7722
27.323259,31.503696,6.088969
27.328163,31.701658,4.950547
27.295183,31.885769,4.676052
27.203293,32.036739,4.418408
27.110941,32.174503,4.146374
27.035793,32.323151,4.16407
26.892122,32.529598,6.288014
26.778332,32.724049,5.632404
26.70315,32.961323,6.222519
26.672903,33.124031,4.137388
26.613131,33.273445,4.023209
26.537649,33.436539,4.492786
26.497015,33.554703,3.123952
26.45927,33.674438,3.138535
26.43111,33.817413,3.643089
26.494909,34.009647,5.063563
26.550091,34.251476,6.201134
26.582287,34.403275,3.879362
26.61001,34.639877,5.955593
26.606386,34.825172,4.633254
26.640287,34.930691,2.770716
26.7178,35.00618,2.704969
26.834261,35.256084,6.892697
26.964016,35.47794,6.425365
27.03121,35.729195,6.502109
27.107174,35.942978,5.671926
27.217487,36.126091,5.344414
27.405626,36.375057,7.801438
27.47875,36.463753,2.873827
27.559347,36.588947,3.722368
27.646431,36.763813,4.883702
27.723276,36.889523,3.683459
27.859539,37.071678,5.68702
27.996138,37.274536,6.114044
28.113342,37.48024,5.918798
28.196184,37.632385,4.330884
28.294647,37.814037,5.165606
28.380812,37.906067,3.151732
28.498905,37.993839,3.678498
28.646366,38.124817,4.930738
28.702337,38.2183,2.723927
28.820488,38.431725,6.098707
28.970238,38.665287,6.93609
29.079636,38.84483,5.256192
29.225285,38.961014,4.657794
